"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed"
3,20,0.01,"gaussian","single","double",0.586968184011789,1.29457413206982,0.00999999999999988,231.930699844999,0.0129999999999999,493
4,20,0.01,"gaussian","single","double",0.590917027753456,1.32483019076147,0.00999999999999987,215.137309002287,0.0139999999999993,494
5,20,0.01,"gaussian","single","double",0.551716297439881,1.39324570577746,0.00999999999999983,176.415158706751,0.0169999999999995,495
6,20,0.01,"gaussian","single","double",0.711729838704975,1.42485739739627,0.00999999999999987,252.883678137893,0.0310000000000006,496
7,20,0.01,"gaussian","single","double",0.752351977123564,1.45865950228142,0.00999999999999988,275.128373711266,0.0519999999999996,497
8,20,0.01,"gaussian","single","double",0.627269280999166,1.19535986862953,0.00999999999999977,226.865879968129,0.0729999999999986,498
9,20,0.01,"gaussian","single","double",0.59263922192678,1.35507743316932,0.00999999999999992,221.291939880405,0.248000000000001,499
10,20,0.01,"gaussian","single","double",0.622829225253095,1.12947884775223,0.00999999999999987,270.144041482581,0.0670000000000002,500
1,20,1e-04,"gaussian","double","double",0.675894975766109,14.8799760212795,9.99999999998698e-05,32913.2093028124,0.145,501
2,20,1e-04,"gaussian","double","double",0.65067986769427,13.7407906493313,9.99999999998165e-05,22061.4874907072,0.337,502
3,20,1e-04,"gaussian","double","double",0.62896888289922,13.8405249164806,9.99999999999308e-05,32026.2869304725,0.112,503
4,20,1e-04,"gaussian","double","double",0.684572688763179,13.5480968240116,9.99999999999019e-05,26570.7585079966,0.0109999999999992,504
5,20,1e-04,"gaussian","double","double",0.63397921758998,13.6986354969429,9.9999999999818e-05,37980.2799578261,0.0150000000000006,505
6,20,1e-04,"gaussian","double","double",0.63547733445649,12.6165803377655,9.99999999999312e-05,40460.9547986252,0.0150000000000006,506
7,20,1e-04,"gaussian","double","double",0.675187429342959,13.6291924042357,9.99999999998946e-05,31765.5665317051,0.0250000000000004,507
8,20,1e-04,"gaussian","double","double",0.643605877007071,12.7051456070628,9.99999999998336e-05,35446.654258384,0.0259999999999998,508
9,20,1e-04,"gaussian","double","double",0.561409357017989,12.1857496675608,9.99999999998162e-05,32995.8726468321,0.020999999999999,509
10,20,1e-04,"gaussian","double","double",0.664915463115235,14.9971902845556,9.99999999997647e-05,27776.3896676661,0.0210000000000008,510
1,20,1e-04,"gaussian","single","double",0.640799192565728,15.0640425972479,9.99999999997731e-05,29365.1945147627,0.0259999999999998,511
2,20,1e-04,"gaussian","single","double",0.69953283483775,13.320844992165,9.99999999998247e-05,29644.3375014712,0.016,512
3,20,1e-04,"gaussian","single","double",0.671046662837401,12.0009182335063,9.99999999998087e-05,31245.7029556879,0.0440000000000005,513
4,20,1e-04,"gaussian","single","double",0.849733687506745,13.292136335841,9.99999999998528e-05,38975.8484502532,0.0169999999999995,514
5,20,1e-04,"gaussian","single","double",0.711797231197268,13.019152764976,9.99999999998155e-05,32737.2368866221,0.016,515
6,20,1e-04,"gaussian","single","double",0.627583766578932,12.8194903311205,9.99999999998881e-05,32707.1838794316,0.0170000000000012,516
