"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed"
2,15,0.01,"gaussian","single","double",0.577083024482386,1.8194357871938,0.00999999999999987,218.541513331056,0.011000000000001,432
3,15,0.01,"gaussian","single","double",0.696476715579606,1.6229332941705,0.00999999999999979,230.081157878589,0.0120000000000005,433
4,15,0.01,"gaussian","single","double",0.681921542111807,1.85916793734899,0.0099999999999999,280.580776850149,0.011000000000001,434
5,15,0.01,"gaussian","single","double",0.593043823398783,1.6018848376785,0.00999999999999981,221.625893767786,0.0139999999999993,435
6,15,0.01,"gaussian","single","double",0.838403479347004,1.85053239817223,0.00999999999999972,267.4077578121,0.0180000000000007,436
7,15,0.01,"gaussian","single","double",0.665017179843304,1.67613383829922,0.00999999999999981,249.867635875146,0.0179999999999989,437
8,15,0.01,"gaussian","single","double",0.672118410720827,1.61469555506939,0.00999999999999984,207.292530675317,0.00600000000000023,438
9,15,0.01,"gaussian","single","double",0.625601654380253,1.61154161571537,0.0099999999999998,230.992845571248,0.0190000000000001,439
10,15,0.01,"gaussian","single","double",0.63626375837283,1.53516083387927,0.00999999999999979,382.832501604112,0.0250000000000004,440
1,15,1e-04,"gaussian","double","double",0.657217382414991,16.9832871340189,9.9999999999813e-05,27759.1527521148,0.00899999999999856,441
2,15,1e-04,"gaussian","double","double",0.758845278471715,17.6353426451451,9.99999999998119e-05,30669.9099707008,0.00899999999999856,442
3,15,1e-04,"gaussian","double","double",0.659829925268708,18.2115847198081,9.99999999998822e-05,20335.8777569556,0.0109999999999992,443
4,15,1e-04,"gaussian","double","double",0.650580712481957,18.9595730193137,9.99999999998286e-05,22926.1260785594,0.0199999999999996,444
5,15,1e-04,"gaussian","double","double",0.603813462083128,16.4867637846091,9.99999999997502e-05,31373.6842420856,0.0129999999999999,445
6,15,1e-04,"gaussian","double","double",0.586760440654169,17.9980836824744,9.9999999999759e-05,26372.6559473507,0.00999999999999979,446
7,15,1e-04,"gaussian","double","double",0.698669792916272,19.2516301271428,9.99999999996245e-05,19051.4961697055,0.00600000000000023,447
8,15,1e-04,"gaussian","double","double",0.608509051405163,18.4422476501589,9.99999999998692e-05,22993.0499372554,0.0080000000000009,448
9,15,1e-04,"gaussian","double","double",0.649026074742664,16.0028050215808,9.99999999998743e-05,21482.6735845607,0.00799999999999912,449
10,15,1e-04,"gaussian","double","double",0.642244031689248,17.9342540150074,9.99999999998385e-05,22502.406470766,0.0129999999999999,450
1,15,1e-04,"gaussian","single","double",0.666921637326569,15.4882255596083,9.99999999997981e-05,32879.1203150125,0.00699999999999967,451
2,15,1e-04,"gaussian","single","double",0.693429432887669,17.9237288659608,9.9999999999851e-05,25831.2308473239,0.00900000000000034,452
3,15,1e-04,"gaussian","single","double",0.87818694446631,17.8926158330455,9.99999999996497e-05,30565.6124612058,0.0109999999999992,453
4,15,1e-04,"gaussian","single","double",0.691438274925653,19.3911059123099,9.99999999998857e-05,26591.0771629647,0.0139999999999993,454
5,15,1e-04,"gaussian","single","double",0.555215131306359,17.4230406905468,9.9999999999827e-05,24815.3419746935,0.0980000000000008,455
6,15,1e-04,"gaussian","single","double",0.742532418456944,19.0104095701335,9.99999999997212e-05,28092.7639810904,0.145,456
7,15,1e-04,"gaussian","single","double",0.760090027362119,18.7978088625389,9.99999999997172e-05,33483.1447723512,0.205,457
8,15,1e-04,"gaussian","single","double",0.662386738394803,18.3668869522302,9.99999999998444e-05,23069.2428778693,0.167,458
9,15,1e-04,"gaussian","single","double",0.676007805094896,18.5786429819875,9.99999999998605e-05,28758.6299176941,0.0239999999999991,459
10,15,1e-04,"gaussian","single","double",0.677189784650433,17.3955955347516,9.99999999998767e-05,27438.5081762503,0.00999999999999979,460
1,15,1e-06,"gaussian","double","double",0.636288620712801,200.036357917576,9.99999999872051e-07,2220455.79203213,0.00900000000000034,461
2,15,1e-06,"gaussian","double","double",0.602258820200037,193.202154989272,9.99999999837069e-07,2153811.91983917,0.0119999999999987,462
3,15,1e-06,"gaussian","double","double",0.615547373048343,164.52745030528,9.99999999825307e-07,2277376.10772453,0.00799999999999912,463
