"s","sketch_prec","solve_prec","trial","residual_ratio","solution_error","condition_number"
50,"bfloat16","double",20,1.20029942153072,0.0152267309058283,5.54131745805988
100,"double","double",1,1.13447718679185,0.0124293169881016,4.49173185740288
100,"double","double",2,1.11570430815135,0.0110768257725134,4.11226262501896
100,"double","double",3,1.12279620022405,0.0121450819491095,4.28671702883962
100,"double","double",4,1.09363267210265,0.0102401924198536,3.98003959529309
100,"double","double",5,1.0687392602635,0.00871175230103331,3.96608743057871
100,"double","double",6,1.0663999356595,0.00835040612678413,4.4194852383774
100,"double","double",7,1.07661479607909,0.00871773300452047,4.26663793720805
100,"double","double",8,1.18692310870555,0.0138797479687069,4.64727927766636
100,"double","double",9,1.09955744480078,0.009894984857853,3.96712266768454
100,"double","double",10,1.05739209477158,0.00771393063050754,4.83448057210491
100,"double","double",11,1.16529627952414,0.0137959893658434,4.16447866390074
100,"double","double",12,1.07999403332981,0.00902729094060266,3.99596587779838
100,"double","double",13,1.20467044289061,0.015662338545823,4.33994170038817
100,"double","double",14,1.16082139972441,0.0129004984129298,4.0967179507035
100,"double","double",15,1.10750051908427,0.0112162135243765,4.24356048906224
100,"double","double",16,1.18516690236023,0.0138933587992769,4.77051642061434
100,"double","double",17,1.10608801737534,0.0110102404600024,3.56720642707835
100,"double","double",18,1.15023997877076,0.0125791685330523,4.34318662792311
100,"double","double",19,1.12844510861523,0.0117924509570849,4.39151796771575
100,"double","double",20,1.06773363070671,0.00834645999414671,3.80824063276367
100,"single","double",1,1.11767279714368,0.011300631618035,6.09758084766795
100,"single","double",2,1.2025985083469,0.0156743152778996,3.70377125475608
100,"single","double",3,1.10289863180857,0.0106855831144201,5.10417117173364
100,"single","double",4,1.13199188901902,0.0114513828624098,4.11663598646806
100,"single","double",5,1.09069856819169,0.0101142790106769,4.20671699528392
100,"single","double",6,1.06654726342997,0.00875274567184179,4.63171496535105
100,"single","double",7,1.11215624507916,0.0113257198294932,5.00085980849786
100,"single","double",8,1.10482969771166,0.0105930033342651,4.51284077849735
100,"single","double",9,1.12092044362401,0.0120088858339717,5.38355591179238
100,"single","double",10,1.09634469392687,0.0100269190241725,3.90360946909201
100,"single","double",11,1.07963178503356,0.0096108698048307,3.93551404496044
100,"single","double",12,1.12270301220769,0.011600051404764,5.12412596212524
100,"single","double",13,1.14406192739202,0.0129805043506108,4.60601382960162
100,"single","double",14,1.1012239971512,0.0103962641056268,4.3710731970282
100,"single","double",15,1.16013223082068,0.0131261131855633,4.35376123062643
100,"single","double",16,1.09118960593023,0.0103835823416888,3.68736743251267
100,"single","double",17,1.13373238586491,0.0125344914603897,4.09246655869795
100,"single","double",18,1.11788084084759,0.0114357295614303,4.38416598827231
100,"single","double",19,1.05549647465036,0.00786352066615401,4.86887446822631
100,"single","double",20,1.09793492871963,0.0104629900449326,3.94908969606121
100,"half","double",1,1.25721700001796,0.0184532785952573,3.91254498218552
100,"half","double",2,1.06647871791953,0.00859131611513276,4.75568760322258
100,"half","double",3,1.10903810647476,0.0116324216478623,3.91344082446389
100,"half","double",4,1.13137994024872,0.0122301866100364,4.51351156728436
100,"half","double",5,1.10143894680153,0.0103623665505228,3.89571506067218
100,"half","double",6,1.09818258732023,0.00977197244578183,4.5130055340003
100,"half","double",7,1.07331592258143,0.00888823939779439,4.66308099892584
100,"half","double",8,1.17177050255565,0.013653145872904,5.29104660226636
100,"half","double",9,1.08129135008403,0.00932843531790588,3.8080051056467
100,"half","double",10,1.11875503016116,0.0113260661210246,4.32250100134299
100,"half","double",11,1.05495414679864,0.00812282232495303,4.5366423523635
100,"half","double",12,1.15290224423833,0.0129659983771823,4.27515369648469
100,"half","double",13,1.11110322481322,0.0107398541223243,4.09097736663135
100,"half","double",14,1.10844781874872,0.0107174820191483,4.41335671559562
100,"half","double",15,1.12580953689727,0.0114040135285392,4.38931621015352
100,"half","double",16,1.04913235420902,0.00732988762377443,4.86561029654206
100,"half","double",17,1.25683908168659,0.0178377164239305,4.20386405495724
100,"half","double",18,1.18036155375689,0.0142405402707766,4.27043957404305
100,"half","double",19,1.1142092972745,0.0108620950190666,4.24859644869696
100,"half","double",20,1.10558654935874,0.0106863020211328,4.66256749273333
100,"bfloat16","double",1,1.12121053487864,0.0109064326709111,4.57112734109521
100,"bfloat16","double",2,1.16875056743615,0.0140810301922313,5.24961008249163
100,"bfloat16","double",3,1.12913127985444,0.0109806004968819,3.83525069614737
100,"bfloat16","double",4,1.11428243850411,0.0117850874165204,4.78407405161617
100,"bfloat16","double",5,1.09374163803819,0.00975361997622954,4.52543330571109
100,"bfloat16","double",6,1.13503342045122,0.0124805360236783,5.08014846176404
100,"bfloat16","double",7,1.2122375852717,0.0150365936167963,5.19249961694149
100,"bfloat16","double",8,1.1308104232627,0.0119231019658331,3.97770610636942
100,"bfloat16","double",9,1.21397595139378,0.0163180797221507,4.46796546291727
100,"bfloat16","double",10,1.14642930405148,0.0122786685320022,4.32342633627172
100,"bfloat16","double",11,1.17200998944973,0.014077568810119,4.4430223528993
100,"bfloat16","double",12,1.11416552305806,0.0111476830053427,3.60940425389111
100,"bfloat16","double",13,1.144690004905,0.0126776722916592,3.42837553165512
