"cond_num","s","trial","solution_error","residual_norm","condition_number"
1000,100,19,1.1969213456564e-14,3.77745320446319e-13,1950.84536333906
1000,100,20,2.71084090541839e-14,3.8745460176422e-13,2129.91422620943
1000,200,1,8.30881595435344e-15,3.0622873366713e-13,1698.26194160114
1000,200,2,1.06013800840207e-14,3.04806428942786e-13,2189.94307821546
1000,200,3,9.88260646019151e-15,3.77022650655022e-13,1778.96778705934
1000,200,4,2.20912622689226e-14,3.86514798384033e-13,2022.14662954629
1000,200,5,9.8778034308929e-15,2.69514591325821e-13,1846.90409393543
1000,200,6,2.08682653747607e-14,3.96561283115484e-13,1896.25087760258
1000,200,7,1.51020124836352e-14,5.03813875170303e-13,2082.17032749881
1000,200,8,1.05329392507713e-14,4.04182421593496e-13,1538.50869363963
1000,200,9,1.53357128217006e-14,3.25381954816435e-13,1921.01338438776
1000,200,10,9.53480579462573e-15,3.76216694654244e-13,1842.8567408546
1000,200,11,2.49629888298261e-14,2.84899755511396e-13,2045.90395868513
1000,200,12,8.09039560315496e-15,4.79549985661721e-13,1799.77980582196
1000,200,13,4.78826718690071e-15,5.30238657731563e-13,1856.23466461701
1000,200,14,2.5730158134917e-14,4.04664215384017e-13,2176.63675135764
1000,200,15,8.16817872320577e-15,3.14046516636587e-13,2032.2092360747
1000,200,16,1.15368680168515e-14,3.95825820623753e-13,1812.7326192756
1000,200,17,1.04403179684017e-14,3.99262194576071e-13,2011.49599079113
1000,200,18,5.48280468074145e-15,2.91663597110129e-13,2162.68845374607
1000,200,19,1.76377893188739e-14,4.9109505427898e-13,1780.56697865184
1000,200,20,1.04522648168769e-14,3.96612689552715e-13,1775.44632564494
10000,50,1,1.26683440543322e-13,4.0526622638615e-12,35603.6554823046
10000,50,2,4.91456289912074e-13,9.47344808912897e-12,24444.4802620817
10000,50,3,9.51472402679151e-14,5.35742390577862e-12,20186.4629258437
10000,50,4,1.41667124714539e-13,4.20148311706571e-12,29042.8052121266
10000,50,5,1.89207621816995e-13,7.80696281127291e-12,37580.6507909182
10000,50,6,4.01891533298945e-13,5.00970548084794e-12,30904.5530967947
10000,50,7,3.17628895284723e-13,6.12285234092282e-12,33285.4829361681
10000,50,8,6.21718333031288e-13,7.90793924282536e-12,40524.4432101347
10000,50,9,3.48019290101015e-13,7.84365725128266e-12,32611.5690468437
10000,50,10,2.17866847934818e-13,6.00590634424424e-12,26107.8675198772
10000,50,11,3.98823796286924e-13,6.1715749678634e-12,20571.7282885108
10000,50,12,1.30084697245743e-13,3.40345705662566e-12,26907.3316412834
10000,50,13,4.01241295713098e-13,6.33824233436361e-12,23203.1372311372
10000,50,14,4.09678890427417e-13,5.86657706806703e-12,35442.4875192365
