"trial","rank","lambda","basis_mode","pearson_error","spearman_error","quantile_error","covariance_error_x","covariance_error_y","runtime","transport_error_proxy"
3,20,1e-06,"independent",1.66670789085655,1.61547495142495,3.00239674942847e-17,6.59922180077956,6.97071741459619,0.0670000000000002,142.167261762421
4,20,1e-06,"independent",1.67194911184555,1.63896709140646,3.00239674942847e-17,6.47566131489802,8.1556641848153,0.0700000000000003,142.167261762421
5,20,1e-06,"independent",1.65987304882279,1.61709472165878,3.00239674942847e-17,6.16979411067285,7.20949531879172,0.0820000000000007,142.167261762421
6,20,1e-06,"independent",1.65295271190153,1.61414572200781,3.00239674942847e-17,7.53116063432045,6.83727986296396,0.0779999999999994,142.167261762421
7,20,1e-06,"independent",1.67092357078024,1.64068575036273,3.00239674942847e-17,7.01561222977653,6.37383513336226,0.0860000000000003,142.167261762421
8,20,1e-06,"independent",1.60041374691334,1.57127253637989,3.00239674942847e-17,8.71023361260536,7.10009867245218,0.0760000000000005,142.167261762421
9,20,1e-06,"independent",1.69813339400894,1.65832966234647,3.00239674942847e-17,6.67265415180889,7.77592437444242,0.0950000000000006,142.167261762421
10,20,1e-06,"independent",1.62569597828527,1.59362809410847,3.00239674942847e-17,9.32613985968774,5.9899957065004,0.0649999999999995,142.167261762421
11,20,1e-06,"independent",1.59728176187644,1.54849830943531,3.00239674942847e-17,7.23356133983085,8.08636655510249,0.0649999999999995,142.167261762421
12,20,1e-06,"independent",1.59093815660881,1.55167542964662,3.00239674942847e-17,6.0668541727473,7.43627795889099,0.0750000000000011,142.167261762421
13,20,1e-06,"independent",1.59057537841329,1.5438880199163,3.00239674942847e-17,7.07680940260162,6.76676784128753,0.0709999999999997,142.167261762421
14,20,1e-06,"independent",1.63071360237783,1.59742336262409,3.00239674942847e-17,8.85946494474661,6.86345787945894,0.0690000000000008,142.167261762421
15,20,1e-06,"independent",1.62578446877764,1.58198493881556,3.00239674942847e-17,7.10953160962256,6.6431085670538,0.0700000000000003,142.167261762421
16,20,1e-06,"independent",1.62299565566344,1.58978878565851,3.00239674942847e-17,7.28741312973635,6.66310735055331,0.0730000000000004,142.167261762421
17,20,1e-06,"independent",1.55865735850304,1.52260983936703,3.00239674942847e-17,6.88557316586295,9.00417874537026,0.0939999999999994,142.167261762421
18,20,1e-06,"independent",1.61435374524752,1.57280788684856,3.00239674942847e-17,6.37640951971551,7.87188598767577,0.0700000000000003,142.167261762421
19,20,1e-06,"independent",1.57076826937673,1.53858598060856,3.00239674942847e-17,7.64591103420609,7.63349524817792,0.0779999999999994,142.167261762421
20,20,1e-06,"independent",1.68279048297962,1.63730908896817,3.00239674942847e-17,7.3923870922736,6.29183677139651,0.072000000000001,142.167261762421
1,20,0.01,"shared",1.57263815050273,1.54236988674588,3.00239674942847e-17,7.34205451488876,7.66370760717709,0.0709999999999997,1.21675814821234
2,20,0.01,"shared",1.68946841984035,1.66386808066835,3.00239674942847e-17,7.60382372332003,6.40538459391534,0.0800000000000001,1.21675814821234
3,20,0.01,"shared",1.57933019965523,1.56061827917621,3.00239674942847e-17,6.32784481856725,6.79627431556492,0.0850000000000009,1.21675814821234
4,20,0.01,"shared",1.48477130820738,1.44844692497847,3.00239674942847e-17,6.95358571619001,7.42136717189662,0.0739999999999998,1.21675814821234
5,20,0.01,"shared",1.67169716266067,1.62629912877611,3.00239674942847e-17,7.31181115496509,6.86740266528568,0.0709999999999997,1.21675814821234
6,20,0.01,"shared",1.53877809255908,1.50463646380097,3.00239674942847e-17,6.94896947087292,6.78035722914259,0.0670000000000002,1.21675814821234
7,20,0.01,"shared",1.58687213464797,1.5549348498718,3.00239674942847e-17,6.74600462401456,7.8194647976117,0.0699999999999985,1.21675814821234
8,20,0.01,"shared",1.59148428469641,1.54484933539544,3.00239674942847e-17,7.83328664981176,5.30176123577505,0.0749999999999993,1.21675814821234
9,20,0.01,"shared",1.51115421495889,1.48431958015517,3.00239674942847e-17,5.43313198327685,6.60651444618955,0.0810000000000013,1.21675814821234
10,20,0.01,"shared",1.47332518800973,1.42895078858792,3.00239674942847e-17,6.86984073839014,5.5116223633604,0.0850000000000009,1.21675814821234
11,20,0.01,"shared",1.62428056160221,1.60164298240949,3.00239674942847e-17,5.53110545785499,8.60497756941746,0.0860000000000003,1.21675814821234
12,20,0.01,"shared",1.60066876480616,1.56158144758428,3.00239674942847e-17,8.28954927332529,8.26826669504222,0.0999999999999996,1.21675814821234
13,20,0.01,"shared",1.50691039688823,1.47120490526713,3.00239674942847e-17,8.34807818735909,6.88207973572536,0.0939999999999994,1.21675814821234
14,20,0.01,"shared",1.5924343175112,1.55244764097789,3.00239674942847e-17,6.83889339533913,7.87650541431533,0.113000000000001,1.21675814821234
